instant_hour,dteday,season_hour,yr_hour,mnth_hour,hr,holiday_hour,weekday_hour,workingday_hour,weathersit_hour,temp_hour,atemp_hour,hum_hour,windspeed_hour,casual_hour,registered_hour,cnt_hour,duration_days,instant_day,season_day,yr_day,mnth_day,holiday_day,weekday_day,workingday_day,weathersit_day,temp_day,atemp_day,hum_day,windspeed_day,casual_day,registered_day,cnt_day,status,temp_group
1,2011-01-01,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16,0.0,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Active,Cold
2,2011-01-01,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40,0.0,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Active,Cold
3,2011-01-01,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32,0.0,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Active,Cold
4,2011-01-01,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13,0.0,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Active,Cold
5,2011-01-01,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1,0.0,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Active,Cold
6,2011-01-01,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1,0.0,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Active,Cold
7,2011-01-01,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2,0.0,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Active,Cold
8,2011-01-01,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3,0.0,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Active,Cold
9,2011-01-01,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8,0.0,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Active,Cold
10,2011-01-01,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14,0.0,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Active,Normal
11,2011-01-01,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,0.0,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Active,Normal
12,2011-01-01,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56,0.0,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Active,Normal
13,2011-01-01,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84,0.0,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Active,Normal
14,2011-01-01,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94,0.0,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Active,Normal
15,2011-01-01,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106,0.0,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Active,Normal
16,2011-01-01,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110,0.0,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Active,Normal
17,2011-01-01,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93,0.0,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Active,Normal
18,2011-01-01,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67,0.0,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Active,Normal
19,2011-01-01,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35,0.0,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Active,Normal
20,2011-01-01,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37,0.0,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Active,Normal
21,2011-01-01,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36,0.0,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Active,Normal
22,2011-01-01,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34,0.0,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Active,Normal
23,2011-01-01,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28,0.0,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Active,Normal
24,2011-01-01,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39,0.0,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Active,Normal
25,2011-01-02,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17,1.0,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Active,Normal
26,2011-01-02,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17,1.0,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Active,Normal
27,2011-01-02,1,0,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,1,8,9,1.0,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Active,Normal
